Employee ID	Gender	Age	BusinessTravel	Department	DistanceFromHome (KM)	State	Ethnicity	Education	EducationField	JobRole	MaritalStatus	Salary	StockOptionLevel	OverTime	HireDate	Attrition	YearsAtCompany	YearsInMostRecentRole	YearsSinceLastPromotion	YearsWithCurrManager
374	Male	29	Some Travel	Human Resources	14	IL	Native Hawaiian 	4	Technical Degree	Recruiter	Married	46703	0	No	"Thursday, July 31, 2014"	Yes	0	0	0	0
375	Female	26	Some Travel	Technology	37	NY	Mixed or multiple ethnic groups	3	Computer Science	Software Engineer	Single	26296	0	Yes	"Friday, August 1, 2014"	Yes	5	2	2	2
376	Female	36	Frequent Traveller	Technology	6	CA	Asian or Asian American	4	Information Systems	Data Scientist	Single	51050	0	Yes	"Tuesday, August 5, 2014"	No	8	6	7	2
377	Prefer Not To Say	40	Some Travel	Technology	29	NY	White	2	Business Studies	Analytics Manager	Married	295688	0	No	"Tuesday, August 5, 2014"	No	8	1	5	8
378	Male	26	Frequent Traveller	Human Resources	17	CA	Mixed or multiple ethnic groups	3	Human Resources	Recruiter	Divorced	30502	1	No	"Saturday, August 9, 2014"	Yes	0	0	0	0
379	Female	38	Frequent Traveller	Technology	2	CA	White	4	Computer Science	Data Scientist	Single	58828	0	No	"Monday, August 11, 2014"	No	8	7	8	0
380	Female	27	Frequent Traveller	Sales	43	CA	Mixed or multiple ethnic groups	3	Marketing	Sales Representative	Single	24583	0	Yes	"Saturday, August 16, 2014"	Yes	7	0	1	6
381	Male	44	Some Travel	Technology	4	NY	Black or African American	4	Other	Data Scientist	Divorced	85523	1	Yes	"Monday, August 18, 2014"	Yes	8	0	4	1
382	Non-Binary	29	Some Travel	Technology	24	NY	Black or African American	3	Computer Science	Software Engineer	Single	41307	0	No	"Tuesday, August 19, 2014"	Yes	0	0	0	0
383	Male	31	Some Travel	Technology	20	CA	Black or African American	2	Computer Science	Senior Software Engineer	Divorced	149482	1	Yes	"Friday, August 22, 2014"	No	8	3	7	2
384	Non-Binary	35	Some Travel	Technology	31	CA	Asian or Asian American	4	Computer Science	Software Engineer	Single	77269	0	No	"Saturday, September 13, 2014"	No	8	8	8	6
385	Prefer Not To Say	33	Some Travel	Sales	30	CA	Mixed or multiple ethnic groups	3	Economics	Sales Executive	Married	90726	0	No	"Wednesday, September 17, 2014"	No	8	0	5	1
386	Male	31	Frequent Traveller	Technology	38	CA	White	1	Computer Science	Analytics Manager	Divorced	547204	1	Yes	"Sunday, September 28, 2014"	No	8	7	8	5
387	Male	33	No Travel 	Technology	26	CA	White	3	Computer Science	Data Scientist	Divorced	43998	3	No	"Monday, September 29, 2014"	No	8	6	7	2
388	Female	30	Some Travel	Sales	24	CA	Mixed or multiple ethnic groups	4	Marketing 	Sales Representative	Single	38382	0	Yes	"Thursday, October 2, 2014"	No	8	7	8	0
389	Male	44	Some Travel	Technology	28	CA	Mixed or multiple ethnic groups	3	Computer Science	Software Engineer	Married	49447	1	No	"Thursday, October 9, 2014"	No	8	7	7	8
390	Male	40	No Travel 	Technology	28	CA	White	3	Information Systems	Software Engineer	Divorced	46285	3	No	"Thursday, October 23, 2014"	No	8	8	8	3
391	Male	44	Some Travel	Sales	35	CA	Mixed or multiple ethnic groups	3	Marketing	Sales Representative	Married	75667	1	No	"Monday, October 27, 2014"	No	8	6	6	3
392	Male	47	Frequent Traveller	Sales	42	NY	White	3	Marketing	Sales Executive	Married	232155	0	No	"Thursday, October 30, 2014"	No	8	7	7	3
393	Male	44	Frequent Traveller	Technology	18	CA	Black or African American	3	Computer Science	Senior Software Engineer	Single	102708	0	Yes	"Monday, November 3, 2014"	No	8	3	4	7
394	Male	28	Frequent Traveller	Technology	3	NY	White	3	Business Studies	Software Engineer	Married	58993	1	Yes	"Friday, November 7, 2014"	Yes	7	2	7	1
395	Female	30	Some Travel	Technology	32	NY	Asian or Asian American	4	Computer Science	Software Engineer	Single	155259	0	No	"Monday, November 10, 2014"	No	8	3	5	6
396	Female	39	No Travel 	Sales	12	NY	White	2	Marketing 	Sales Executive	Single	89351	0	No	"Tuesday, November 11, 2014"	No	8	2	2	0
397	Male	37	Frequent Traveller	Technology	15	NY	Black or African American	4	Computer Science	Data Scientist	Married	53929	2	No	"Saturday, November 15, 2014"	No	8	7	7	5
398	Female	28	Frequent Traveller	Technology	27	CA	White	2	Information Systems	Analytics Manager	Married	546549	1	No	"Tuesday, November 18, 2014"	No	8	8	8	2
399	Female	48	Some Travel	Sales	4	NY	Black or African American	3	Marketing	Sales Representative	Single	55880	0	No	"Wednesday, November 19, 2014"	No	8	1	6	5
400	Male	29	Some Travel	Technology	36	NY	White	1	Information Systems	Data Scientist	Divorced	86428	3	No	"Thursday, November 20, 2014"	Yes	6	5	5	5
401	Male	47	Some Travel	Technology	12	CA	White	4	Information Systems	Software Engineer	Single	105126	0	No	"Friday, November 21, 2014"	No	8	0	7	1
402	Female	32	Frequent Traveller	Sales	22	NY	White	3	Marketing	Sales Executive	Married	142488	1	No	"Saturday, November 22, 2014"	No	8	0	6	7
403	Female	30	Some Travel	Technology	38	CA	White	4	Computer Science	Data Scientist	Married	88609	1	Yes	"Monday, November 24, 2014"	No	8	4	4	1
404	Female	29	Frequent Traveller	Technology	12	IL	Mixed or multiple ethnic groups	3	Information Systems	Software Engineer	Single	72057	0	No	"Thursday, November 27, 2014"	No	8	8	8	3
405	Male	41	Some Travel	Sales	11	IL	Mixed or multiple ethnic groups	1	Marketing	Sales Executive	Married	81654	0	No	"Friday, November 28, 2014"	No	8	3	4	7
406	Female	44	Some Travel	Technology	13	NY	White	3	Information Systems	Software Engineer	Single	57296	0	No	"Saturday, November 29, 2014"	No	8	5	7	3
407	Female	28	Some Travel	Technology	27	NY	Mixed or multiple ethnic groups	2	Information Systems	Machine Learning Engineer	Divorced	117918	2	No	"Tuesday, December 2, 2014"	No	8	3	8	7
408	Male	47	Some Travel	Sales	23	CA	Black or African American	3	Marketing	Sales Representative	Married	44646	0	No	"Tuesday, December 2, 2014"	No	8	5	5	4
409	Female	47	Some Travel	Sales	14	NY	White	4	Marketing 	Manager	Single	410970	0	No	"Saturday, December 6, 2014"	No	8	2	5	8
410	Male	47	Some Travel	Sales	17	CA	White	3	Other	Sales Executive	Single	106840	0	No	"Saturday, December 6, 2014"	No	8	3	4	8
411	Female	37	Some Travel	Sales	17	CA	White	4	Economics	Manager	Single	476151	0	No	"Monday, December 8, 2014"	No	8	3	4	8
412	Male	34	Some Travel	Technology	24	CA	Asian or Asian American	3	Computer Science	Software Engineer	Married	42721	1	No	"Wednesday, December 10, 2014"	No	8	3	3	7
413	Female	38	Some Travel	Sales	13	CA	Black or African American	3	Marketing	Sales Executive	Divorced	240248	1	Yes	"Sunday, December 14, 2014"	No	8	4	8	0
414	Female	26	Some Travel	Technology	25	CA	White	3	Information Systems	Software Engineer	Married	22089	1	Yes	"Monday, December 15, 2014"	Yes	1	0	0	0
415	Female	37	Some Travel	Sales	19	NY	White	3	Marketing 	Sales Executive	Married	230381	1	No	"Friday, December 19, 2014"	No	8	3	3	7
416	Non-Binary	40	Frequent Traveller	Technology	7	IL	Mixed or multiple ethnic groups	3	Computer Science	Software Engineer	Married	95808	2	No	"Sunday, December 21, 2014"	No	8	8	8	2
417	Male	32	Some Travel	Technology	30	CA	Black or African American	4	Computer Science	Software Engineer	Married	48377	1	Yes	"Sunday, December 21, 2014"	No	8	5	5	6
418	Male	31	Some Travel	Sales	10	CA	Black or African American	3	Marketing 	Sales Executive	Single	110076	0	Yes	"Tuesday, December 23, 2014"	No	8	5	8	6
419	Male	41	Some Travel	Human Resources	36	CA	White	3	Human Resources	HR Executive	Married	131047	0	No	"Tuesday, December 23, 2014"	No	8	4	4	7
420	Non-Binary	30	Some Travel	Sales	11	CA	White	1	Marketing	Sales Executive	Married	127014	0	No	"Friday, December 26, 2014"	No	8	4	8	0
421	Male	27	Some Travel	Sales	1	CA	Black or African American	4	Marketing 	Sales Representative	Single	30870	0	No	"Sunday, December 28, 2014"	Yes	3	1	2	3
422	Non-Binary	41	Frequent Traveller	Technology	7	NY	American Indian or Alaska Native	3	Computer Science	Software Engineer	Married	96632	1	No	"Wednesday, December 31, 2014"	No	8	2	8	0
423	Male	43	Some Travel	Technology	40	CA	Black or African American	3	Information Systems	Software Engineer	Single	63511	0	No	"Wednesday, December 31, 2014"	No	8	5	7	4
424	Non-Binary	27	No Travel 	Sales	2	CA	Black or African American	3	Other	Sales Executive	Divorced	92022	1	No	"Tuesday, January 6, 2015"	No	7	7	7	0
425	Female	27	Some Travel	Technology	1	CA	White	3	Computer Science	Software Engineer	Single	31450	0	No	"Saturday, January 10, 2015"	No	7	3	5	7
426	Female	25	Frequent Traveller	Human Resources	3	CA	American Indian or Alaska Native	3	Human Resources	Recruiter	Married	23547	0	No	"Tuesday, January 13, 2015"	Yes	3	0	2	1
427	Female	26	Some Travel	Technology	20	CA	White	3	Business Studies	Software Engineer	Single	33273	0	Yes	"Tuesday, January 20, 2015"	Yes	2	1	1	0
428	Male	28	Frequent Traveller	Technology	7	CA	White	4	Business Studies	Senior Software Engineer	Married	140538	1	No	"Wednesday, January 21, 2015"	No	7	3	5	0
429	Female	27	Some Travel	Technology	30	CA	Mixed or multiple ethnic groups	2	Information Systems	Analytics Manager	Divorced	240633	1	No	"Thursday, January 22, 2015"	No	7	1	6	7
430	Male	27	Some Travel	Technology	19	IL	American Indian or Alaska Native	4	Computer Science	Software Engineer	Divorced	25276	1	No	"Thursday, January 22, 2015"	No	7	6	7	1
431	Female	26	Some Travel	Human Resources	5	CA	Mixed or multiple ethnic groups	4	Human Resources	HR Manager	Married	315071	1	Yes	"Sunday, January 25, 2015"	No	7	7	7	1
432	Non-Binary	26	Some Travel	Technology	16	CA	White	1	Computer Science	Senior Software Engineer	Married	54746	1	Yes	"Tuesday, January 27, 2015"	No	7	2	4	4
433	Female	25	Some Travel	Technology	20	NY	Mixed or multiple ethnic groups	2	Computer Science	Software Engineer	Married	43438	1	Yes	"Thursday, January 29, 2015"	No	7	7	7	3
434	Female	27	No Travel 	Technology	34	CA	Asian or Asian American	2	Business Studies	Data Scientist	Single	30783	0	No	"Tuesday, February 3, 2015"	No	7	7	7	2
435	Male	26	Some Travel	Technology	31	CA	White	2	Computer Science	Engineering Manager	Married	148211	3	Yes	"Wednesday, February 11, 2015"	No	7	1	6	0
436	Male	28	Some Travel	Technology	15	NY	White	3	Computer Science	Data Scientist	Married	83951	2	No	"Thursday, February 12, 2015"	No	7	3	6	5
437	Female	27	Some Travel	Sales	25	NY	White	3	Technical Degree	Sales Executive	Married	91202	0	Yes	"Sunday, February 15, 2015"	No	7	5	7	2
438	Female	27	Some Travel	Technology	40	CA	Asian or Asian American	4	Information Systems	Senior Software Engineer	Married	112728	1	No	"Wednesday, February 18, 2015"	No	7	5	6	4
439	Female	25	Some Travel	Sales	38	IL	Mixed or multiple ethnic groups	2	Marketing 	Sales Executive	Single	57018	0	No	"Saturday, February 21, 2015"	Yes	1	0	0	0
440	Male	27	Some Travel	Technology	27	CA	Mixed or multiple ethnic groups	4	Information Systems	Machine Learning Engineer	Married	92522	0	No	"Sunday, February 22, 2015"	No	7	4	5	2
441	Male	28	No Travel 	Technology	30	CA	White	3	Computer Science	Data Scientist	Single	52930	0	No	"Monday, February 23, 2015"	No	7	1	4	2
442	Prefer Not To Say	25	Some Travel	Technology	4	NY	White	2	Computer Science	Engineering Manager	Single	179602	0	No	"Sunday, March 1, 2015"	No	7	6	6	6
443	Male	27	Frequent Traveller	Technology	9	NY	Black or African American	4	Computer Science	Software Engineer	Married	39001	0	Yes	"Tuesday, March 3, 2015"	No	7	7	7	4
444	Male	27	Some Travel	Sales	42	CA	Other 	2	Technical Degree	Sales Executive	Married	68638	0	Yes	"Tuesday, March 10, 2015"	No	7	7	7	0
445	Male	26	Some Travel	Sales	24	CA	White	3	Marketing	Sales Executive	Single	85982	0	No	"Friday, March 13, 2015"	Yes	5	1	1	0
446	Male	25	No Travel 	Technology	12	NY	Black or African American	3	Information Systems	Data Scientist	Single	31962	0	No	"Saturday, March 14, 2015"	No	7	2	7	4
447	Male	25	Some Travel	Technology	23	NY	Black or African American	3	Computer Science	Data Scientist	Single	24626	0	No	"Saturday, March 14, 2015"	No	7	7	7	1
448	Male	25	Frequent Traveller	Sales	25	NY	White	1	Marketing 	Sales Executive	Single	57030	0	No	"Friday, March 20, 2015"	No	7	5	7	6
449	Female	28	Frequent Traveller	Technology	38	CA	Mixed or multiple ethnic groups	4	Computer Science	Data Scientist	Married	87704	2	No	"Saturday, March 28, 2015"	No	7	1	3	6
450	Male	25	Some Travel	Sales	12	NY	Asian or Asian American	4	Marketing	Sales Executive	Divorced	67814	0	No	"Saturday, March 28, 2015"	No	7	6	7	1
451	Non-Binary	41	Some Travel	Human Resources	11	NY	Black or African American	2	Economics	HR Business Partner	Single	445906	0	Yes	"Wednesday, April 1, 2015"	No	7	1	5	4
452	Female	27	Some Travel	Sales	4	CA	Black or African American	1	Economics	Sales Executive	Married	45046	2	Yes	"Friday, April 3, 2015"	No	7	6	7	0
453	Male	26	Some Travel	Sales	24	CA	American Indian or Alaska Native	1	Marketing 	Sales Executive	Single	82312	0	Yes	"Saturday, April 11, 2015"	No	7	2	7	6
454	Male	27	Frequent Traveller	Sales	16	CA	White	3	Technical Degree	Sales Executive	Single	50559	0	No	"Tuesday, April 14, 2015"	Yes	6	0	5	5
455	Female	25	Some Travel	Technology	5	CA	Mixed or multiple ethnic groups	4	Other	Software Engineer	Single	51454	0	No	"Friday, April 17, 2015"	No	7	1	6	7
456	Non-Binary	27	Some Travel	Technology	1	CA	White	1	Information Systems	Software Engineer	Single	48442	0	No	"Friday, April 17, 2015"	No	7	3	4	5
457	Non-Binary	27	Some Travel	Technology	10	CA	White	3	Information Systems	Data Scientist	Single	45438	0	No	"Sunday, April 19, 2015"	No	7	1	5	5
458	Male	26	Some Travel	Technology	22	CA	Asian or Asian American	3	Information Systems	Software Engineer	Married	52390	1	Yes	"Tuesday, April 21, 2015"	No	7	4	5	3
459	Male	25	Some Travel	Technology	1	NY	Asian or Asian American	4	Information Systems	Senior Software Engineer	Married	72840	0	No	"Thursday, April 23, 2015"	No	7	6	6	0
460	Male	26	Some Travel	Technology	10	CA	White	4	Information Systems	Senior Software Engineer	Divorced	148080	1	Yes	"Sunday, May 3, 2015"	No	7	7	7	1
461	Female	26	Frequent Traveller	Technology	42	CA	Asian or Asian American	1	Computer Science	Data Scientist	Married	56966	1	No	"Monday, May 4, 2015"	No	7	4	5	2
462	Female	27	Some Travel	Technology	42	CA	White	3	Computer Science	Software Engineer	Married	33606	2	No	"Thursday, May 7, 2015"	No	7	0	0	2
463	Male	25	Some Travel	Sales	4	CA	Native Hawaiian 	2	Economics	Sales Executive	Divorced	57698	2	Yes	"Monday, May 11, 2015"	Yes	6	5	6	2
464	Female	25	Some Travel	Technology	16	CA	White	5	Information Systems	Software Engineer	Married	28317	0	Yes	"Wednesday, May 13, 2015"	No	7	4	6	5
465	Female	26	Some Travel	Sales	17	CA	Asian or Asian American	4	Marketing 	Sales Executive	Single	97811	0	Yes	"Saturday, May 16, 2015"	No	7	3	6	4
466	Female	25	Some Travel	Technology	43	CA	Asian or Asian American	1	Computer Science	Engineering Manager	Divorced	190198	2	No	"Monday, May 18, 2015"	No	7	0	2	3
467	Male	26	Some Travel	Technology	4	IL	White	4	Computer Science	Senior Software Engineer	Single	167509	0	No	"Tuesday, May 19, 2015"	No	7	6	6	0
468	Female	25	Some Travel	Technology	5	NY	Native Hawaiian 	3	Computer Science	Machine Learning Engineer	Divorced	44082	1	No	"Sunday, May 24, 2015"	No	7	3	4	2
469	Female	26	Frequent Traveller	Technology	17	CA	White	2	Information Systems	Senior Software Engineer	Married	59981	1	Yes	"Monday, May 25, 2015"	No	7	1	5	2
470	Male	28	Some Travel	Technology	38	IL	White	3	Information Systems	Senior Software Engineer	Married	194982	1	No	"Monday, May 25, 2015"	No	7	2	7	2
471	Female	27	Some Travel	Technology	9	CA	White	2	Computer Science	Analytics Manager	Married	252301	1	No	"Saturday, May 30, 2015"	No	7	1	6	5
472	Female	25	Some Travel	Human Resources	22	NY	Black or African American	2	Economics	HR Executive	Divorced	49131	1	No	"Saturday, May 30, 2015"	No	7	2	6	2
473	Prefer Not To Say	26	Some Travel	Technology	16	CA	White	4	Other	Software Engineer	Single	60834	0	No	"Monday, June 1, 2015"	No	7	0	0	5
474	Female	28	Frequent Traveller	Technology	20	CA	Black or African American	1	Computer Science	Data Scientist	Married	62016	3	No	"Tuesday, June 2, 2015"	No	7	6	6	4
475	Non-Binary	28	Some Travel	Technology	5	CA	White	3	Information Systems	Machine Learning Engineer	Married	140377	1	Yes	"Tuesday, June 2, 2015"	No	7	2	7	5
476	Non-Binary	27	Some Travel	Technology	20	CA	White	1	Business Studies	Software Engineer	Single	22986	0	Yes	"Tuesday, June 2, 2015"	No	7	6	7	0
477	Male	28	Some Travel	Technology	39	NY	Black or African American	5	Computer Science	Software Engineer	Single	81906	0	No	"Thursday, June 4, 2015"	No	7	4	4	1
478	Female	27	Some Travel	Human Resources	40	CA	White	3	Human Resources	Recruiter	Married	34320	1	No	"Sunday, June 7, 2015"	No	7	5	6	5
479	Male	25	Some Travel	Technology	10	CA	White	3	Business Studies	Machine Learning Engineer	Married	145905	2	Yes	"Sunday, June 7, 2015"	No	7	3	3	2
480	Female	26	No Travel 	Technology	20	NY	Mixed or multiple ethnic groups	3	Business Studies	Software Engineer	Divorced	28751	2	No	"Monday, June 15, 2015"	No	7	6	6	2
481	Female	27	Some Travel	Technology	13	NY	Asian or Asian American	4	Computer Science	Machine Learning Engineer	Married	77039	1	No	"Thursday, June 18, 2015"	No	7	3	6	0
482	Female	26	Some Travel	Technology	22	CA	Mixed or multiple ethnic groups	3	Business Studies	Engineering Manager	Married	206137	1	No	"Saturday, June 27, 2015"	No	7	1	1	5
483	Male	28	No Travel 	Technology	4	CA	Asian or Asian American	3	Business Studies	Software Engineer	Divorced	57837	2	No	"Tuesday, June 30, 2015"	No	7	3	3	6
484	Male	25	Some Travel	Technology	5	CA	White	3	Computer Science	Software Engineer	Married	28646	1	No	"Thursday, July 2, 2015"	No	7	6	6	3
485	Male	25	Some Travel	Technology	6	NY	White	3	Computer Science	Engineering Manager	Single	195911	0	No	"Thursday, July 9, 2015"	No	7	0	3	4
486	Male	26	Some Travel	Sales	14	IL	White	4	Marketing 	Sales Executive	Single	127450	0	No	"Saturday, July 11, 2015"	No	7	0	0	1
487	Non-Binary	28	Some Travel	Technology	1	CA	Mixed or multiple ethnic groups	2	Business Studies	Engineering Manager	Single	339731	0	No	"Tuesday, July 14, 2015"	No	7	5	7	0
488	Male	25	Some Travel	Technology	13	NY	Black or African American	5	Computer Science	Engineering Manager	Single	178337	0	No	"Thursday, July 16, 2015"	No	7	1	7	2
489	Male	26	Some Travel	Technology	41	NY	Mixed or multiple ethnic groups	3	Computer Science	Senior Software Engineer	Divorced	47676	1	No	"Monday, July 20, 2015"	No	7	4	6	1
490	Male	28	Some Travel	Sales	3	CA	Asian or Asian American	2	Marketing 	Sales Executive	Married	128719	1	No	"Tuesday, July 21, 2015"	No	7	1	3	6
491	Male	28	Some Travel	Sales	24	NY	Mixed or multiple ethnic groups	2	Marketing 	Sales Executive	Married	78735	1	No	"Thursday, July 23, 2015"	No	7	0	2	4
492	Male	26	Some Travel	Technology	32	NY	White	3	Information Systems	Software Engineer	Single	40100	0	Yes	"Thursday, July 30, 2015"	Yes	0	0	0	0
493	Female	27	No Travel 	Technology	12	CA	White	1	Computer Science	Machine Learning Engineer	Single	105398	0	No	"Friday, July 31, 2015"	No	7	1	7	4
494	Female	27	Frequent Traveller	Technology	40	CA	Black or African American	3	Information Systems	Data Scientist	Married	31672	1	No	"Sunday, August 2, 2015"	No	7	1	3	6
495	Female	27	Some Travel	Technology	5	NY	Black or African American	3	Computer Science	Engineering Manager	Married	238435	1	No	"Friday, August 7, 2015"	No	7	2	4	1
496	Non-Binary	26	Some Travel	Technology	28	CA	White	4	Computer Science	Data Scientist	Single	29791	0	No	"Friday, August 7, 2015"	No	7	7	7	1
497	Female	26	No Travel 	Technology	18	CA	Mixed or multiple ethnic groups	4	Information Systems	Engineering Manager	Divorced	153420	2	Yes	"Monday, August 10, 2015"	No	7	5	5	7
498	Male	25	Some Travel	Technology	8	CA	Mixed or multiple ethnic groups	1	Information Systems	Software Engineer	Single	30931	0	Yes	"Thursday, August 13, 2015"	Yes	1	0	0	1
499	Male	27	Some Travel	Technology	34	CA	White	4	Computer Science	Software Engineer	Married	50949	1	No	"Thursday, August 13, 2015"	No	7	6	7	3
500	Non-Binary	27	Some Travel	Technology	4	NY	Asian or Asian American	3	Computer Science	Machine Learning Engineer	Married	60967	2	No	"Friday, August 14, 2015"	No	7	7	7	0
501	Male	28	Some Travel	Sales	45	CA	Asian or Asian American	2	Marketing	Sales Executive	Married	110057	2	No	"Friday, August 14, 2015"	No	7	5	5	4
502	Female	27	Some Travel	Technology	3	CA	Asian or Asian American	2	Computer Science	Engineering Manager	Married	137012	1	No	"Sunday, August 16, 2015"	No	7	6	7	7
503	Non-Binary	27	Some Travel	Sales	31	CA	Mixed or multiple ethnic groups	5	Marketing 	Manager	Single	205622	0	No	"Wednesday, August 19, 2015"	No	7	5	5	3
504	Male	26	Some Travel	Technology	39	CA	White	3	Information Systems	Software Engineer	Married	60494	1	Yes	"Saturday, August 22, 2015"	No	7	7	7	7
505	Male	28	Some Travel	Technology	43	IL	White	4	Information Systems	Engineering Manager	Married	249071	2	No	"Monday, August 24, 2015"	No	7	5	5	6
506	Male	27	No Travel 	Technology	21	CA	White	4	Information Systems	Senior Software Engineer	Divorced	73326	1	No	"Wednesday, September 2, 2015"	No	7	0	5	0
507	Female	26	Some Travel	Technology	16	IL	White	3	Computer Science	Software Engineer	Divorced	25110	2	No	"Thursday, September 3, 2015"	No	7	1	5	0
508	Female	26	Some Travel	Technology	43	NY	Black or African American	4	Computer Science	Software Engineer	Married	30217	1	No	"Friday, September 4, 2015"	No	7	2	4	0
509	Male	25	Some Travel	Sales	38	NY	Mixed or multiple ethnic groups	3	Marketing 	Sales Executive	Divorced	86485	1	Yes	"Monday, September 7, 2015"	No	7	6	6	0
510	Male	28	No Travel 	Technology	17	NY	Black or African American	2	Information Systems	Software Engineer	Single	54324	0	Yes	"Thursday, September 10, 2015"	Yes	3	3	3	1
511	Female	25	Frequent Traveller	Sales	6	CA	Mixed or multiple ethnic groups	3	Marketing	Sales Executive	Married	102569	0	No	"Saturday, September 12, 2015"	No	7	1	2	5
512	Female	27	Some Travel	Technology	1	IL	White	3	Information Systems	Engineering Manager	Single	200409	0	No	"Thursday, September 17, 2015"	No	7	5	6	1
513	Non-Binary	28	Some Travel	Sales	38	IL	Mixed or multiple ethnic groups	3	Marketing	Sales Executive	Divorced	185380	1	No	"Monday, September 21, 2015"	Yes	5	2	5	3
514	Male	26	Some Travel	Sales	3	NY	White	1	Marketing 	Sales Executive	Married	56892	0	No	"Tuesday, September 29, 2015"	No	7	1	3	3
515	Non-Binary	28	No Travel 	Technology	26	CA	Mixed or multiple ethnic groups	5	Computer Science	Data Scientist	Married	112175	3	No	"Wednesday, September 30, 2015"	No	7	1	3	4
516	Prefer Not To Say	28	No Travel 	Technology	45	IL	Mixed or multiple ethnic groups	4	Information Systems	Machine Learning Engineer	Married	87762	0	No	"Friday, October 2, 2015"	No	7	2	7	2
517	Non-Binary	27	Some Travel	Technology	5	NY	White	2	Computer Science	Software Engineer	Married	26542	1	No	"Monday, October 5, 2015"	No	7	1	7	5
518	Non-Binary	27	Some Travel	Technology	2	CA	Mixed or multiple ethnic groups	4	Computer Science	Data Scientist	Married	39198	1	No	"Saturday, October 10, 2015"	No	7	6	7	4
519	Male	28	Some Travel	Sales	43	NY	Mixed or multiple ethnic groups	4	Marketing 	Sales Executive	Divorced	157549	1	No	"Tuesday, October 20, 2015"	No	7	0	0	3
520	Male	27	Some Travel	Sales	7	CA	Black or African American	3	Marketing	Sales Executive	Married	73918	1	No	"Wednesday, October 21, 2015"	No	7	3	4	1
521	Male	28	Some Travel	Sales	10	NY	Mixed or multiple ethnic groups	1	Marketing 	Sales Executive	Married	83864	2	No	"Wednesday, October 21, 2015"	No	7	7	7	5
522	Female	26	Some Travel	Technology	27	CA	White	2	Computer Science	Data Scientist	Married	42052	1	No	"Monday, October 26, 2015"	No	7	7	7	2
523	Male	28	Some Travel	Technology	2	CA	Asian or Asian American	3	Computer Science	Machine Learning Engineer	Single	220234	0	Yes	"Monday, October 26, 2015"	No	7	5	7	1
524	Female	27	Some Travel	Sales	1	CA	Other 	2	Technical Degree	Sales Representative	Single	62496	0	No	"Tuesday, October 27, 2015"	No	7	6	6	1
525	Female	28	Some Travel	Sales	44	CA	White	3	Economics	Sales Executive	Married	304858	1	Yes	"Sunday, November 1, 2015"	No	7	5	7	2
526	Female	28	Some Travel	Sales	7	CA	White	5	Marketing	Sales Executive	Married	181164	1	No	"Sunday, November 1, 2015"	No	7	5	6	1
527	Male	25	Frequent Traveller	Technology	11	NY	Mixed or multiple ethnic groups	1	Business Studies	Machine Learning Engineer	Married	67708	1	No	"Monday, November 2, 2015"	No	7	7	7	0
528	Male	26	Some Travel	Technology	17	IL	American Indian or Alaska Native	3	Information Systems	Software Engineer	Married	55778	1	No	"Thursday, November 5, 2015"	No	7	4	7	6
529	Male	27	Some Travel	Technology	14	CA	Black or African American	2	Information Systems	Machine Learning Engineer	Divorced	120049	1	No	"Saturday, November 7, 2015"	No	7	1	6	1
530	Male	28	Some Travel	Sales	32	CA	White	4	Marketing	Sales Executive	Divorced	128222	2	No	"Saturday, November 7, 2015"	No	7	6	7	1
531	Female	27	Some Travel	Technology	31	CA	White	4	Computer Science	Senior Software Engineer	Divorced	120225	2	No	"Sunday, November 8, 2015"	No	7	2	5	4
532	Male	26	Some Travel	Technology	14	NY	Black or African American	1	Computer Science	Software Engineer	Married	33180	1	Yes	"Tuesday, November 10, 2015"	No	7	5	7	3
533	Male	26	Some Travel	Sales	22	CA	Mixed or multiple ethnic groups	1	Marketing 	Sales Executive	Married	87142	1	No	"Wednesday, November 11, 2015"	Yes	2	1	1	0
534	Female	27	No Travel 	Technology	12	IL	White	3	Information Systems	Data Scientist	Single	41524	0	No	"Thursday, November 12, 2015"	No	7	6	6	6
535	Female	26	Frequent Traveller	Technology	14	NY	American Indian or Alaska Native	3	Computer Science	Software Engineer	Single	36794	0	No	"Wednesday, November 18, 2015"	Yes	5	3	4	3
536	Male	28	Frequent Traveller	Technology	40	NY	White	5	Information Systems	Data Scientist	Divorced	109172	1	Yes	"Thursday, November 19, 2015"	No	7	1	3	1
537	Female	28	Some Travel	Sales	17	CA	White	3	Technical Degree	Sales Representative	Divorced	70787	2	Yes	"Thursday, November 26, 2015"	No	7	2	5	5
538	Female	27	Some Travel	Sales	45	CA	Mixed or multiple ethnic groups	2	Economics	Sales Executive	Single	57102	0	No	"Sunday, November 29, 2015"	No	7	6	6	4
539	Female	26	Some Travel	Sales	29	NY	Black or African American	3	Economics	Sales Representative	Single	28024	0	No	"Monday, November 30, 2015"	No	7	0	7	5
540	Female	26	Some Travel	Technology	7	NY	Black or African American	3	Computer Science	Data Scientist	Married	34047	1	Yes	"Thursday, December 3, 2015"	No	7	4	4	2
541	Female	25	Some Travel	Technology	1	IL	White	2	Computer Science	Data Scientist	Married	32354	1	Yes	"Sunday, December 6, 2015"	Yes	7	4	6	2
542	Male	27	Some Travel	Technology	44	CA	Mixed or multiple ethnic groups	3	Computer Science	Software Engineer	Single	45276	0	Yes	"Saturday, December 12, 2015"	No	7	6	6	2
